aquifer_id,lat,lon,district,well_type,season,land_use,well_depth_m,water_table_depth_m,aquifer_thickness_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,depletion_rate_m_per_year,years_depleting,aquifer_cluster,cluster_name
AQ0001,27.67,85.38,Kathmandu,deep_tube,wet,peri-urban,180.72,20.05,30.74,626.4,20.38,281.06,1.51,0.06,6.43,1.39,1,0,Moderate Stress
AQ0002,27.79,85.34,Lalitpur,deep_tube,wet,peri-urban,195.6,48.95,41.24,726.31,17.61,211.42,5.56,0.11,7.01,0.45,9,1,Critical Depletion Zone
AQ0003,27.75,85.28,Bhaktapur,shallow_tube,dry,urban,31.04,24.94,39.21,404.54,10.32,566.92,8.56,0.01,7.17,1.71,11,2,Moderate Stress
AQ0004,27.72,85.41,Lalitpur,shallow_tube,wet,agriculture,65.49,2.69,11.93,14.42,1.21,609.6,6.56,0.9,7.28,1.08,3,2,Moderate Stress
AQ0005,27.63,85.38,Bhaktapur,shallow_tube,wet,urban,60.6,22.64,11.72,199.7,17.05,733.92,2.39,0.72,7.84,1.5,13,2,Moderate Stress
AQ0006,27.63,85.24,Lalitpur,shallow_tube,dry,urban,84.62,16.32,17.07,174.69,10.24,648.84,8.75,0.71,6.54,1.62,10,2,Moderate Stress
AQ0007,27.61,85.44,Lalitpur,deep_tube,wet,peri-urban,208.73,58.51,21.25,525.95,24.75,729.1,3.19,0.46,7.82,0.38,4,1,Critical Depletion Zone
AQ0008,27.77,85.41,Bhaktapur,deep_tube,dry,urban,101.46,30.04,23.38,41.48,1.77,444.6,4.74,0.28,7.59,1.67,1,2,Moderate Stress
AQ0009,27.72,85.45,Kathmandu,deep_tube,wet,peri-urban,180.88,51.45,35.59,708.5,19.91,817.6,3.73,0.14,7.31,1.43,4,1,Critical Depletion Zone
AQ0010,27.74,85.39,Kathmandu,deep_tube,wet,peri-urban,106.22,7.49,7.55,237.4,31.44,150.0,1.46,0.26,7.6,0.64,13,0,Moderate Stress
AQ0011,27.6,85.36,Kathmandu,dug,wet,urban,6.84,3.49,6.56,43.56,6.64,871.68,8.05,0.34,7.02,1.58,1,2,Moderate Stress
AQ0012,27.79,85.31,Bhaktapur,deep_tube,wet,peri-urban,134.52,7.75,22.64,367.83,16.25,391.63,3.91,0.68,6.48,1.11,5,2,Moderate Stress
AQ0013,27.77,85.44,Bhaktapur,dug,dry,urban,5.15,9.76,36.37,143.89,3.96,381.45,3.49,0.49,7.53,1.08,5,2,Moderate Stress
AQ0014,27.64,85.43,Kathmandu,shallow_tube,wet,urban,40.47,20.79,13.7,290.95,21.23,485.63,3.51,0.08,7.25,1.63,14,2,Moderate Stress
AQ0015,27.64,85.21,Lalitpur,shallow_tube,dry,urban,65.16,21.61,33.87,636.73,18.8,597.5,3.47,0.03,7.48,2.06,11,0,Moderate Stress
AQ0016,27.64,85.21,Bhaktapur,shallow_tube,wet,agriculture,38.73,23.57,16.69,236.55,14.17,587.83,2.34,0.1,6.88,1.07,7,2,Moderate Stress
AQ0017,27.66,85.3,Kathmandu,deep_tube,wet,urban,187.92,8.77,44.87,801.35,17.86,711.02,6.7,0.38,8.01,1.86,14,1,Critical Depletion Zone
AQ0018,27.7,85.41,Lalitpur,dug,dry,urban,5.83,3.98,45.31,1358.69,29.99,477.07,8.72,0.84,7.37,1.94,8,0,Moderate Stress
AQ0019,27.69,85.46,Bhaktapur,shallow_tube,wet,urban,14.29,3.63,18.38,135.02,7.35,290.01,2.14,0.58,6.37,1.01,4,2,Moderate Stress
AQ0020,27.66,85.24,Kathmandu,dug,dry,peri-urban,8.49,2.27,15.35,26.55,1.73,600.75,1.25,0.72,7.1,1.43,7,2,Moderate Stress
AQ0021,27.72,85.35,Lalitpur,shallow_tube,dry,urban,34.29,7.28,23.51,678.47,28.86,482.62,6.58,0.43,7.71,1.03,4,0,Moderate Stress
AQ0022,27.63,85.3,Kathmandu,dug,dry,urban,6.03,4.8,15.82,311.1,19.66,601.74,8.56,0.33,7.79,2.12,3,2,Moderate Stress
AQ0023,27.66,85.45,Bhaktapur,shallow_tube,dry,urban,71.06,8.18,35.26,1050.59,29.8,360.12,4.61,0.11,7.19,1.25,6,0,Moderate Stress
