household_id,lat,lon,district,season,household_size,uses_piped_water,uses_groundwater_well,uses_tanker,aquifer_id,water_insecurity_index,aquifer_cluster,water_table_depth_m,depletion_rate_m_per_year,tds_mg_per_L,nitrate_mg_per_L
HH00001,27.643945,85.436554,Kathmandu,wet,5,0,1,0,AQ0498,47.35,2,11.08,2.3,610.78,9.91
HH00002,27.687734,85.426304,Kathmandu,dry,5,1,1,1,AQ0395,42.88,1,44.96,1.12,517.42,5.64
HH00003,27.7564,85.34514,Lalitpur,wet,4,0,1,1,AQ0444,32.72,1,26.01,1.48,379.27,3.86
HH00004,27.756791,85.284448,Kathmandu,wet,8,0,1,1,AQ0231,16.89,2,5.46,0.51,157.77,1.81
HH00005,27.690652,85.276281,Kathmandu,wet,4,1,1,1,AQ0449,4.65,0,5.75,0.84,560.47,2.85
HH00006,27.758438,85.208689,Lalitpur,wet,6,1,1,0,AQ0076,22.49,2,10.54,1.68,644.67,4.48
HH00007,27.767724,85.412113,Bhaktapur,wet,5,1,1,1,AQ0260,63.5,1,50.53,2.11,687.29,5.9
HH00008,27.730955,85.3171,Kathmandu,wet,5,1,0,0,AQ0025,22.2,0,13.38,1.16,396.02,3.98
HH00009,27.645685,85.284535,Kathmandu,dry,4,1,1,0,AQ0200,23.5,0,18.87,0.92,716.35,3.48
HH00010,27.654802,85.322489,Bhaktapur,wet,8,1,1,1,AQ0463,37.72,2,0.48,2.18,379.77,5.02
HH00011,27.662968,85.412872,Kathmandu,wet,5,1,0,1,AQ0427,25.24,1,37.8,0.59,443.48,1.53
HH00012,27.623361,85.2324,Bhaktapur,dry,7,1,1,0,AQ0094,50.35,1,15.32,2.45,744.58,9.57
HH00013,27.654632,85.422991,Kathmandu,wet,3,0,1,0,AQ0424,28.32,0,8.12,1.33,900.75,3.29
HH00014,27.641904,85.433352,Bhaktapur,dry,5,1,1,0,AQ0352,10.58,2,1.34,1.4,371.71,3.61
HH00015,27.691066,85.446144,Kathmandu,wet,6,1,1,1,AQ0108,33.75,2,3.0,2.19,508.66,2.78
HH00016,27.781688,85.303347,Bhaktapur,wet,6,1,1,0,AQ0355,34.58,0,6.69,1.73,255.84,4.31
HH00017,27.620896,85.256457,Kathmandu,dry,7,1,1,0,AQ0469,37.88,0,15.53,0.84,421.65,6.26
HH00018,27.744054,85.297147,Lalitpur,wet,3,1,1,0,AQ0095,54.14,1,31.42,2.53,817.58,7.41
HH00019,27.737457,85.286557,Kathmandu,wet,3,1,1,0,AQ0356,32.88,2,3.77,1.89,462.92,9.62
HH00020,27.619151,85.2458,Kathmandu,dry,5,1,1,0,AQ0091,31.55,1,57.28,0.46,542.58,1.84
HH00021,27.784514,85.357889,Lalitpur,wet,3,0,1,0,AQ0044,42.43,2,9.88,2.01,150.0,6.63
HH00022,27.713694,85.323922,Lalitpur,dry,8,1,0,0,AQ0456,45.05,2,8.71,1.67,294.26,2.28
HH00023,27.672745,85.425082,Bhaktapur,dry,4,1,0,1,AQ0443,27.63,0,8.71,1.35,365.62,5.94
HH00024,27.751308,85.208348,Kathmandu,wet,5,1,1,0,AQ0384,27.35,2,16.34,0.99,770.71,6.9
HH00025,27.651473,85.367406,Bhaktapur,dry,3,1,1,0,AQ0023,20.45,0,8.18,1.25,360.12,4.61
HH00026,27.738702,85.398367,Kathmandu,dry,5,1,1,0,AQ0190,43.6,0,5.07,1.68,451.18,5.33
HH00027,27.607942,85.397467,Bhaktapur,dry,4,1,1,1,AQ0023,14.63,0,8.18,1.25,360.12,4.61
HH00028,27.767882,85.430379,Bhaktapur,dry,3,1,1,0,AQ0234,34.13,0,32.09,0.53,819.15,7.18
HH00029,27.689634,85.389549,Kathmandu,dry,4,1,1,1,AQ0186,25.66,2,5.74,1.77,817.19,2.71
HH00030,27.727339,85.441231,Bhaktapur,wet,4,1,1,1,AQ0311,44.35,1,42.75,2.14,869.43,2.63
HH00031,27.644248,85.286491,Bhaktapur,dry,8,1,0,1,AQ0417,22.1,2,7.34,0.51,391.67,4.57
HH00032,27.735415,85.330834,Kathmandu,wet,4,1,0,0,AQ0333,69.23,1,50.12,2.51,496.87,8.32
HH00033,27.754448,85.203661,Lalitpur,wet,5,1,0,0,AQ0063,41.26,0,7.19,1.81,198.54,9.32
HH00034,27.694643,85.201809,Kathmandu,dry,8,1,1,1,AQ0103,24.24,0,6.26,0.87,449.1,4.98
HH00035,27.723545,85.262433,Bhaktapur,wet,6,1,0,0,AQ0500,18.62,2,5.71,1.01,301.75,4.36
HH00036,27.691265,85.22621,Kathmandu,dry,8,1,0,1,AQ0316,24.23,0,5.86,0.83,543.51,4.66
HH00037,27.778818,85.267655,Kathmandu,wet,8,1,0,0,AQ0483,33.99,0,16.56,0.92,185.5,2.6
HH00038,27.699574,85.246031,Kathmandu,dry,5,1,1,0,AQ0189,52.19,0,7.71,2.4,428.44,7.04
HH00039,27.768362,85.207415,Lalitpur,wet,5,1,0,0,AQ0336,39.05,2,20.98,0.81,416.52,5.74
HH00040,27.76027,85.436419,Bhaktapur,wet,3,0,1,0,AQ0460,8.36,0,6.21,0.39,476.45,2.78
HH00041,27.682101,85.202138,Bhaktapur,wet,4,0,1,0,AQ0189,51.71,0,7.71,2.4,428.44,7.04
HH00042,27.646017,85.391381,Kathmandu,dry,6,0,1,0,AQ0351,58.42,0,11.61,2.04,219.25,8.33
HH00043,27.681216,85.239558,Kathmandu,wet,5,0,1,0,AQ0069,37.5,1,47.51,1.28,679.67,1.73
HH00044,27.765243,85.43718,Lalitpur,dry,6,0,1,0,AQ0114,37.74,2,20.35,1.34,444.75,3.69
HH00045,27.645527,85.432127,Lalitpur,wet,6,0,1,1,AQ0104,33.2,2,8.41,1.84,401.07,3.13
HH00046,27.704887,85.370014,Kathmandu,wet,4,1,1,1,AQ0108,30.45,2,3.0,2.19,508.66,2.78
HH00047,27.761219,85.374781,Kathmandu,wet,7,1,1,0,AQ0345,28.26,2,1.78,1.21,326.27,5.87
HH00048,27.670695,85.201388,Lalitpur,wet,5,0,0,1,AQ0021,36.07,0,7.28,1.03,482.62,6.58
HH00049,27.728442,85.456067,Kathmandu,dry,4,1,1,0,AQ0387,52.17,1,23.08,2.32,970.66,6.15
