aquifer_id,lat,lon,district,well_type,well_depth_m,water_table_depth_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,aquifer_thickness_m,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,land_use,season,depletion_rate_m_per_year,years_depleting
AQ0001,27.674908,85.437679,Lalitpur,shallow_tube,36.49,13.36,744.9,20.207,36.86,301.8,4.323,0.771,6.24,urban,dry,1.25,1
AQ0002,27.704955,85.299965,Kathmandu,deep_tube,134.94,11.8,290.79,11.1823,26.0,513.7,3.822,0.667,7.53,urban,wet,1.15,10
AQ0003,27.619534,85.371058,Kathmandu,dug,4.93,5.6,99.99,5.2549,19.03,2000.0,9.623,0.697,7.64,urban,wet,2.33,8
AQ0004,27.714089,85.330209,Bhaktapur,deep_tube,165.81,50.65,437.46,25.1123,17.42,241.1,4.059,0.019,6.8,urban,dry,0.33,3
AQ0005,27.741371,85.382252,Lalitpur,dug,4.32,2.18,807.11,102.6846,7.86,206.0,2.756,0.652,7.7,peri-urban,wet,0.56,14
AQ0006,27.769783,85.380432,Kathmandu,shallow_tube,37.74,5.19,712.54,23.4795,30.35,250.2,2.636,0.104,7.3,peri-urban,dry,2.37,7
AQ0007,27.65795,85.240305,Bhaktapur,deep_tube,204.92,21.44,351.35,7.7519,45.32,262.5,4.358,0.754,7.33,urban,wet,0.32,8
AQ0008,27.706818,85.321207,Lalitpur,shallow_tube,30.01,4.63,935.56,118.1244,7.92,240.8,3.615,0.517,7.16,peri-urban,dry,1.06,1
AQ0009,27.647912,85.236224,Kathmandu,deep_tube,196.04,4.93,132.33,6.1407,21.55,929.4,8.426,0.217,6.92,urban,wet,0.39,4
AQ0010,27.665192,85.25506,Lalitpur,deep_tube,106.78,11.92,32.49,0.761,42.7,806.7,6.788,0.192,7.57,urban,wet,0.68,9
AQ0011,27.703327,85.265207,Bhaktapur,deep_tube,210.03,30.3,115.06,2.6696,43.1,337.0,3.598,0.873,7.75,agriculture,dry,1.58,14
AQ0012,27.788027,85.443416,Kathmandu,shallow_tube,8.0,0.5,293.25,13.6452,21.49,673.0,8.957,0.102,7.56,urban,wet,1.6,6
AQ0013,27.67862,85.423012,Lalitpur,shallow_tube,81.02,17.5,138.7,7.8654,17.63,410.2,7.467,0.564,7.57,urban,dry,2.43,3
AQ0014,27.796066,85.218837,Kathmandu,dug,5.78,0.2,221.83,4.7348,46.85,200.9,7.499,0.802,8.09,urban,dry,0.95,10
AQ0015,27.762023,85.416768,Bhaktapur,shallow_tube,61.56,10.43,539.17,11.9682,45.05,200.3,3.429,0.638,6.93,urban,wet,1.49,13
AQ0016,27.767787,85.415101,Kathmandu,dug,6.71,0.2,603.61,12.4619,48.44,826.9,7.334,0.617,6.96,urban,dry,1.25,10
AQ0017,27.615691,85.206338,Bhaktapur,deep_tube,103.69,48.68,166.63,5.6076,29.72,705.3,9.651,0.768,8.03,urban,dry,1.65,7
AQ0018,27.609543,85.341509,Kathmandu,dug,4.64,8.12,514.75,25.0079,20.58,1421.3,6.973,0.522,7.46,urban,dry,0.33,3
AQ0019,27.700627,85.414122,Lalitpur,dug,6.4,6.05,336.05,10.8768,30.9,1036.0,3.644,0.573,7.49,urban,dry,2.41,10
AQ0020,27.641337,85.26849,Kathmandu,shallow_tube,41.65,7.81,1232.6,34.5532,35.67,190.3,5.074,0.935,7.11,urban,dry,0.39,9
AQ0021,27.760696,85.270509,Kathmandu,shallow_tube,13.18,2.04,250.09,5.7322,43.63,1015.5,1.753,0.63,7.67,peri-urban,wet,2.12,6
