household_id,lat,lon,district,season,household_size,uses_piped_water,uses_groundwater_well,uses_tanker,aquifer_id,water_insecurity_index
HH00001,27.643945,85.436554,Kathmandu,wet,5,0,1,0,AQ0498,47.35
HH00002,27.687734,85.426304,Kathmandu,dry,5,1,1,1,AQ0395,42.88
HH00003,27.7564,85.34514,Lalitpur,wet,4,0,1,1,AQ0444,32.72
HH00004,27.756791,85.284448,Kathmandu,wet,8,0,1,1,AQ0231,16.89
HH00005,27.690652,85.276281,Kathmandu,wet,4,1,1,1,AQ0449,4.65
HH00006,27.758438,85.208689,Lalitpur,wet,6,1,1,0,AQ0076,22.49
HH00007,27.767724,85.412113,Bhaktapur,wet,5,1,1,1,AQ0260,63.5
HH00008,27.730955,85.3171,Kathmandu,wet,5,1,0,0,AQ0025,22.2
HH00009,27.645685,85.284535,Kathmandu,dry,4,1,1,0,AQ0200,23.5
HH00010,27.654802,85.322489,Bhaktapur,wet,8,1,1,1,AQ0463,37.72
HH00011,27.662968,85.412872,Kathmandu,wet,5,1,0,1,AQ0427,25.24
HH00012,27.623361,85.2324,Bhaktapur,dry,7,1,1,0,AQ0094,50.35
HH00013,27.654632,85.422991,Kathmandu,wet,3,0,1,0,AQ0424,28.32
HH00014,27.641904,85.433352,Bhaktapur,dry,5,1,1,0,AQ0352,10.58
HH00015,27.691066,85.446144,Kathmandu,wet,6,1,1,1,AQ0108,33.75
HH00016,27.781688,85.303347,Bhaktapur,wet,6,1,1,0,AQ0355,34.58
HH00017,27.620896,85.256457,Kathmandu,dry,7,1,1,0,AQ0469,37.88
HH00018,27.744054,85.297147,Lalitpur,wet,3,1,1,0,AQ0095,54.14
HH00019,27.737457,85.286557,Kathmandu,wet,3,1,1,0,AQ0356,32.88
HH00020,27.619151,85.2458,Kathmandu,dry,5,1,1,0,AQ0091,31.55
HH00021,27.784514,85.357889,Lalitpur,wet,3,0,1,0,AQ0044,42.43
HH00022,27.713694,85.323922,Lalitpur,dry,8,1,0,0,AQ0456,45.05
HH00023,27.672745,85.425082,Bhaktapur,dry,4,1,0,1,AQ0443,27.63
HH00024,27.751308,85.208348,Kathmandu,wet,5,1,1,0,AQ0384,27.35
HH00025,27.651473,85.367406,Bhaktapur,dry,3,1,1,0,AQ0023,20.45
HH00026,27.738702,85.398367,Kathmandu,dry,5,1,1,0,AQ0190,43.6
HH00027,27.607942,85.397467,Bhaktapur,dry,4,1,1,1,AQ0023,14.63
HH00028,27.767882,85.430379,Bhaktapur,dry,3,1,1,0,AQ0234,34.13
HH00029,27.689634,85.389549,Kathmandu,dry,4,1,1,1,AQ0186,25.66
HH00030,27.727339,85.441231,Bhaktapur,wet,4,1,1,1,AQ0311,44.35
HH00031,27.644248,85.286491,Bhaktapur,dry,8,1,0,1,AQ0417,22.1
HH00032,27.735415,85.330834,Kathmandu,wet,4,1,0,0,AQ0333,69.23
HH00033,27.754448,85.203661,Lalitpur,wet,5,1,0,0,AQ0063,41.26
HH00034,27.694643,85.201809,Kathmandu,dry,8,1,1,1,AQ0103,24.24
HH00035,27.723545,85.262433,Bhaktapur,wet,6,1,0,0,AQ0500,18.62
HH00036,27.691265,85.22621,Kathmandu,dry,8,1,0,1,AQ0316,24.23
HH00037,27.778818,85.267655,Kathmandu,wet,8,1,0,0,AQ0483,33.99
HH00038,27.699574,85.246031,Kathmandu,dry,5,1,1,0,AQ0189,52.19
HH00039,27.768362,85.207415,Lalitpur,wet,5,1,0,0,AQ0336,39.05
HH00040,27.76027,85.436419,Bhaktapur,wet,3,0,1,0,AQ0460,8.36
HH00041,27.682101,85.202138,Bhaktapur,wet,4,0,1,0,AQ0189,51.71
HH00042,27.646017,85.391381,Kathmandu,dry,6,0,1,0,AQ0351,58.42
HH00043,27.681216,85.239558,Kathmandu,wet,5,0,1,0,AQ0069,37.5
HH00044,27.765243,85.43718,Lalitpur,dry,6,0,1,0,AQ0114,37.74
HH00045,27.645527,85.432127,Lalitpur,wet,6,0,1,1,AQ0104,33.2
HH00046,27.704887,85.370014,Kathmandu,wet,4,1,1,1,AQ0108,30.45
HH00047,27.761219,85.374781,Kathmandu,wet,7,1,1,0,AQ0345,28.26
HH00048,27.670695,85.201388,Lalitpur,wet,5,0,0,1,AQ0021,36.07
HH00049,27.728442,85.456067,Kathmandu,dry,4,1,1,0,AQ0387,52.17
HH00050,27.649126,85.428236,Lalitpur,dry,7,1,1,0,AQ0432,47.8
HH00051,27.621856,85.432728,Lalitpur,wet,4,1,1,0,AQ0266,13.77
HH00052,27.758877,85.371404,Bhaktapur,dry,6,1,1,1,AQ0343,29.55
HH00053,27.619794,85.289645,Lalitpur,dry,5,0,1,0,AQ0209,45.05
HH00054,27.654276,85.432349,Kathmandu,wet,4,1,1,0,AQ0170,27.14
HH00055,27.771022,85.275794,Bhaktapur,wet,6,0,1,1,AQ0483,25.31
HH00056,27.669294,85.346305,Lalitpur,dry,5,0,1,0,AQ0473,28.92
HH00057,27.794609,85.22593,Kathmandu,wet,4,1,1,0,AQ0194,36.81
HH00058,27.795947,85.439708,Lalitpur,wet,3,0,1,0,AQ0347,22.78
HH00059,27.653655,85.2366,Kathmandu,wet,7,1,0,0,AQ0430,53.5
HH00060,27.608196,85.258473,Bhaktapur,dry,3,1,1,1,AQ0393,14.71
HH00061,27.741013,85.345115,Kathmandu,wet,7,1,1,0,AQ0123,26.21
HH00062,27.690197,85.398664,Lalitpur,wet,4,1,1,0,AQ0177,35.61
HH00063,27.620151,85.361031,Kathmandu,wet,5,0,1,0,AQ0004,28.48
HH00064,27.741505,85.260355,Kathmandu,wet,7,1,0,0,AQ0188,65.31
