aquifer_id,lat,lon,well_type,land_use,well_depth_m,water_table_depth_m,tds_mg_per_L,nitrate_mg_per_L,pH,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day
AQ_0001,27.674908023769472,85.43767857660248,shallow_tube,urban,49.72,25.66,339.5,4.588,7.34,561.09,15.2207
AQ_0002,27.60411689885916,85.4424774630405,shallow_tube,urban,32.96,18.8,289.2,5.124,6.0,534.73,29.5343
AQ_0003,27.722370578944478,85.23487346516302,shallow_tube,peri‑urban,26.38,5.11,1115.9,5.321,8.48,342.7,48.3335
AQ_0004,27.721508970380288,85.24263103092183,deep_tube,urban,119.97,12.96,262.5,10.557,7.19,107.26,16.3825
AQ_0005,27.781864080415758,85.2646949954,shallow_tube,urban,21.02,20.02,2500.0,9.505,7.57,286.73,31.9226
AQ_0006,27.63919657248383,85.21130682222764,shallow_tube,peri‑urban,24.86,3.92,687.5,5.169,7.37,61.01,5.3793
AQ_0007,27.760439396150808,85.21863766091994,dug,urban,9.75,8.75,748.1,9.428,6.45,602.55,76.6597
AQ_0008,27.662196464343133,85.28129583050669,shallow_tube,peri‑urban,52.19,24.49,380.3,8.609,7.69,472.45,15.6144
AQ_0009,27.754193435990913,85.3234488990911,shallow_tube,peri‑urban,8.0,7.0,425.1,5.675,7.65,253.83,15.6509
AQ_0010,27.682076584607128,85.38888778463577,deep_tube,urban,109.58,11.49,759.2,5.986,6.94,376.94,8.3457
AQ_0011,27.70786844838313,85.40186003879101,deep_tube,peri‑urban,134.54,19.71,334.2,3.897,7.84,197.93,4.5258
AQ_0012,27.60139042610624,85.32768682564439,shallow_tube,urban,18.77,12.06,314.7,7.308,7.31,49.58,1.3533
AQ_0013,27.67272592047586,85.44294552068024,deep_tube,urban,54.06,14.81,417.2,12.39,7.1,318.21,27.6214
AQ_0014,27.697890552055515,85.44641261352766,dug,urban,10.3,6.95,232.5,12.799,7.9,761.52,26.1603
AQ_0015,27.618057954010883,85.40882562389731,deep_tube,peri‑urban,100.47,11.04,428.9,3.49,6.42,264.1,7.76
AQ_0016,27.634873285801,85.37273443452563,deep_tube,peri‑urban,181.03,13.87,304.8,2.343,7.02,390.08,11.2418
AQ_0017,27.763444440040242,85.33880020289986,shallow_tube,green,15.89,14.89,479.8,9.041,7.85,124.93,2.7536
AQ_0018,27.777417284853023,85.39496888646441,shallow_tube,peri‑urban,29.8,16.63,491.1,2.882,7.29,94.44,2.6135
AQ_0019,27.730392251900522,85.25606732736514,deep_tube,peri‑urban,101.27,20.51,900.1,2.538,7.68,347.82,10.0548
AQ_0020,27.713661720667094,85.22341869195702,deep_tube,peri‑urban,81.51,9.6,739.9,4.281,7.8,384.46,13.9201
AQ_0021,27.715380776925272,85.32312942345472,shallow_tube,urban,49.39,9.0,189.0,15.919,7.09,442.6,77.7094
AQ_0022,27.785663712517547,85.30704603707933,shallow_tube,urban,33.21,20.44,831.6,5.558,7.31,92.28,1.9582
AQ_0023,27.739205959334996,85.34251529252235,dug,urban,8.69,7.69,838.5,12.343,6.72,755.26,41.4714
AQ_0024,27.761872231095705,85.4025283486698,dug,urban,9.55,8.55,596.5,15.895,7.04,458.81,20.9491
AQ_0025,27.618796387968175,85.34457003524905,shallow_tube,urban,39.41,11.26,114.4,9.026,6.96,597.42,55.7414
AQ_0026,27.704448652010964,85.39249838827466,shallow_tube,urban,48.24,6.1,2129.8,17.348,7.21,356.07,18.229
AQ_0027,27.75903723895374,85.26770806281552,shallow_tube,green,28.11,14.2,569.6,9.642,7.03,193.87,11.9224
AQ_0028,27.709845332941224,85.37864898067502,shallow_tube,peri‑urban,21.09,20.09,1766.9,10.195,6.83,89.79,2.2964
AQ_0029,27.602878697725952,85.22901816012673,dug,peri‑urban,9.33,8.33,209.1,7.28,6.55,229.84,9.3721
AQ_0030,27.679700946879475,85.35396252451305,dug,urban,6.68,5.68,1097.0,7.491,6.71,361.82,44.256
AQ_0031,27.728483855641265,85.2066278276354,deep_tube,peri‑urban,182.36,15.88,106.0,8.842,6.89,1353.59,45.8025
AQ_0032,27.788292961755307,85.2965256594502,shallow_tube,peri‑urban,44.21,10.64,345.8,7.745,6.89,188.12,5.1747
AQ_0033,27.725788569355977,85.41936800338176,deep_tube,peri‑urban,190.64,19.41,223.9,3.319,7.57,407.38,8.2179
AQ_0034,27.682523535382288,85.2930045214482,shallow_tube,urban,29.96,23.13,1186.1,7.454,7.85,254.24,13.1035
AQ_0035,27.779104645699242,85.29730041968354,shallow_tube,urban,35.93,10.71,1525.5,10.438,6.7,94.64,2.6839
AQ_0036,27.750474905887536,85.39789476093146,shallow_tube,green,29.51,14.94,92.6,14.75,6.79,193.32,16.9066
AQ_0037,27.752302126343494,85.35455451582907,deep_tube,urban,128.33,16.43,591.6,7.618,7.78,170.64,3.5829
AQ_0038,27.797200212764576,85.38834454631474,shallow_tube,urban,29.22,13.51,497.3,11.547,7.05,249.09,9.5474
AQ_0039,27.61126065513637,85.22970447906702,deep_tube,urban,166.14,9.21,575.4,14.409,6.48,127.25,2.8863
AQ_0040,27.64471916770389,85.44080563486015,shallow_tube,urban,43.36,15.09,428.3,7.527,8.34,346.0,9.5294
AQ_0041,27.690908212953556,85.35688952002101,shallow_tube,urban,53.08,16.28,1852.6,3.962,7.12,84.56,4.0456
AQ_0042,27.716731222370175,85.21943365924125,shallow_tube,agriculture,45.13,28.13,778.0,6.693,7.57,814.67,34.1999
AQ_0043,27.786545696670803,85.41651597237511,shallow_tube,urban,57.69,11.72,120.6,13.911,7.34,312.45,11.9752
