id,lat,lon,district,well_type,well_depth_m,water_table_depth_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,aquifer_thickness_m,specific_capacity_m3_per_day_per_m,pump_capacity_lpm,pumping_rate_m3_per_day,TDS_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,land_use,season,household_water_insecurity_index
1,27.674908023769472,85.43767857660248,Lalitpur,shallow_tube,36.49,13.36,744.9,20.207,36.86,1.6125,26.76,38.541,291.9,5.239,0.01,7.61,urban,dry,6.8
2,27.62789877213041,85.2730361621338,Kathmandu,shallow_tube,30.56,19.62,331.5,10.2505,32.34,1.1152,25.97,37.403,335.8,0.468,0.568,6.93,peri-urban,dry,24.16
3,27.781864080415758,85.2646949954,Lalitpur,shallow_tube,81.67,28.78,350.03,38.9693,8.98,1.2489,45.37,65.339,333.9,5.623,0.42,7.37,urban,dry,16.11
4,27.628184844994955,85.40054924518851,Kathmandu,deep_tube,109.38,36.12,666.98,17.6424,37.81,5.4493,327.49,471.588,275.2,4.817,1.057,7.11,urban,dry,22.87
5,27.66503666440535,85.38240154458452,Lalitpur,deep_tube,87.73,13.52,1197.53,30.1694,39.69,7.1257,50.0,72.0,655.0,3.169,1.137,7.09,urban,wet,19.58
6,27.682076584607128,85.38888778463577,Kathmandu,dug,4.38,3.5,850.78,19.2415,44.22,7.1715,9.12,13.126,444.4,1.859,0.554,7.84,agriculture,wet,17.0
7,27.77214611665127,85.2017380326328,Kathmandu,shallow_tube,34.07,11.71,431.57,15.2253,28.35,3.2904,60.3,86.835,382.5,1.972,0.01,6.66,green,dry,5.12
8,27.60737738947091,85.35239108349498,Kathmandu,dug,6.96,7.41,104.79,2.1233,49.35,0.4125,8.43,12.137,628.1,4.775,1.164,7.49,urban,dry,41.73
9,27.618057954010883,85.40882562389731,Kathmandu,dug,6.2,3.0,215.9,14.2109,15.19,1.5461,6.61,9.517,231.1,9.92,0.493,7.61,urban,wet,11.07
10,27.763444440040242,85.33880020289986,Kathmandu,dug,6.52,14.99,137.46,3.0298,45.37,1.2505,6.85,9.868,830.2,2.967,0.328,7.29,urban,dry,35.17
11,27.73837903953854,85.36299031487566,Kathmandu,shallow_tube,28.73,3.63,434.97,12.5742,34.59,2.8475,40.18,57.866,254.5,10.469,0.548,8.57,urban,wet,4.05
12,27.698503538763774,85.24881074694952,Lalitpur,shallow_tube,40.63,13.07,570.43,100.1529,5.7,5.3771,68.93,99.258,382.9,1.321,0.968,7.72,green,dry,9.86
13,27.663384401031255,85.24237318667153,Kathmandu,deep_tube,187.8,52.44,107.24,2.411,44.48,0.85,779.07,1121.858,752.8,8.313,0.369,7.46,urban,dry,67.29
14,27.759659035793355,85.36249098269444,Lalitpur,shallow_tube,35.27,23.0,138.86,20.9836,6.62,0.7949,5.0,7.2,495.6,2.491,1.049,7.98,urban,dry,46.52
15,27.64316420549937,85.35572261895476,Kathmandu,dug,10.78,9.41,354.81,8.6999,40.78,1.4784,2.62,3.776,373.4,2.295,1.3,6.96,urban,wet,31.22
16,27.709845332941224,85.37864898067502,Lalitpur,shallow_tube,71.83,23.5,94.81,2.4246,39.1,0.2005,40.5,58.326,1229.9,0.01,0.2,6.2,urban,dry,29.94
17,27.723170019610443,85.35877341271691,Kathmandu,shallow_tube,40.88,19.63,454.72,55.6189,8.18,3.2464,52.79,76.021,317.4,0.01,1.158,6.89,green,wet,29.37
18,27.709123357863188,85.43536620219413,Kathmandu,deep_tube,120.81,24.96,644.47,62.464,10.32,4.8811,714.86,1029.398,481.0,1.055,1.015,7.48,peri-urban,dry,17.07
19,27.761366947853453,85.44762628550018,Kathmandu,shallow_tube,29.96,14.43,806.48,20.7914,38.79,6.4812,102.22,147.196,405.1,2.201,1.022,7.36,urban,wet,12.27
20,27.79012142938751,85.34335947203083,Lalitpur,shallow_tube,24.91,2.64,546.83,13.491,40.53,1.4926,22.03,31.729,397.9,6.361,0.596,7.41,urban,wet,3.46
21,27.723643612663253,85.2252806690307,Kathmandu,shallow_tube,32.93,20.21,195.22,4.0991,47.63,1.9304,23.43,33.74,904.6,5.3,1.21,7.05,urban,dry,35.68
22,27.693732128398825,85.21407581892046,Kathmandu,dug,8.54,13.52,430.66,24.1172,17.86,3.8539,5.67,8.168,403.0,6.087,0.665,7.93,urban,dry,41.05
23,27.690908212953556,85.35688952002101,Kathmandu,deep_tube,281.39,10.44,88.61,4.2395,20.9,0.591,50.0,72.0,497.2,0.652,0.806,6.54,peri-urban,dry,23.35
24,27.786545696670803,85.41651597237511,Kathmandu,dug,8.36,3.41,111.74,5.0469,22.14,1.0905,5.83,8.391,472.8,3.877,0.371,7.2,urban,wet,24.82
25,27.753797483036102,85.43619143247061,Lalitpur,dug,3.86,2.92,485.77,13.7898,35.23,3.3737,2.52,3.624,333.3,6.407,0.695,7.28,peri-urban,wet,35.32
26,27.71218759430708,85.41916340066459,Kathmandu,dug,8.98,15.33,61.62,2.7202,22.65,0.3389,4.19,6.036,615.2,5.191,1.14,6.35,urban,dry,41.88
27,27.691827151247654,85.44500814382137,Kathmandu,shallow_tube,20.43,18.94,465.3,22.6369,20.56,4.2688,132.2,190.373,330.2,2.678,0.329,6.48,urban,dry,13.66
28,27.672853972209616,85.32585431771372,Lalitpur,dug,7.03,16.12,245.9,5.9569,41.28,1.9637,3.41,4.908,283.1,8.09,0.5,8.02,urban,dry,36.74
29,27.607336640578122,85.26310923608601,Lalitpur,deep_tube,334.73,48.01,32.87,2.0662,15.91,0.1366,334.58,481.8,388.7,2.189,0.171,7.31,urban,dry,40.61
30,27.735820463828897,85.39729280965184,Kathmandu,dug,10.75,7.42,252.77,14.2246,17.77,1.2397,7.78,11.201,1257.8,3.846,0.676,6.87,urban,wet,37.08
31,27.637313404810264,85.27127379217346,Kathmandu,deep_tube,152.91,12.27,277.93,6.3241,43.95,2.3726,146.6,211.103,290.6,2.149,0.928,6.37,peri-urban,dry,12.95
32,27.75389858663839,85.24676093713938,Kathmandu,shallow_tube,15.59,11.67,615.08,19.742,31.16,1.9897,161.35,232.346,152.1,1.558,0.508,6.9,urban,dry,11.54
33,27.736300544444788,85.39005696497243,Kathmandu,shallow_tube,13.45,2.73,174.2,3.6887,47.23,0.601,53.46,76.988,364.3,7.501,0.663,7.04,urban,wet,2.66
34,27.762914944046276,85.36629930517405,Kathmandu,shallow_tube,35.95,8.59,121.09,4.6895,25.82,0.5341,50.74,73.061,1093.7,5.131,0.941,7.32,urban,wet,25.5
35,27.623379608141676,85.43495803090337,Lalitpur,shallow_tube,45.08,7.92,322.99,7.9777,40.49,1.0379,6.34,9.136,245.0,2.107,0.441,7.44,peri-urban,wet,27.84
36,27.668416349743183,85.40531432616801,Kathmandu,deep_tube,133.81,1.69,182.44,4.8648,37.5,1.4158,885.07,1274.495,732.6,5.972,0.12,6.31,urban,wet,18.98
37,27.692401160728828,85.43682083490296,Kathmandu,shallow_tube,76.69,20.75,510.32,10.9716,46.51,3.908,60.01,86.414,201.9,4.39,0.447,6.71,peri-urban,dry,14.29
38,27.796968239792466,85.40972452161148,Kathmandu,deep_tube,153.34,39.15,266.06,13.2474,20.08,2.241,698.29,1005.532,99.4,0.065,0.109,7.03,agriculture,dry,34.44
39,27.644920964587996,85.31310987903318,Kathmandu,dug,1.5,5.68,57.02,1.7045,33.45,0.12,1.95,2.806,545.4,1.597,0.163,8.49,green,wet,36.19
40,27.613415295477687,85.3874901175998,Kathmandu,deep_tube,115.58,25.53,110.76,13.9203,7.96,0.9087,886.0,1275.845,81.1,5.223,0.01,7.34,urban,dry,13.51
41,27.789223092426727,85.29332732906994,Kathmandu,shallow_tube,34.57,16.64,942.17,151.4903,6.22,3.5574,78.87,113.568,203.2,3.63,0.642,6.59,urban,dry,15.59
42,27.61988827855187,85.26079304774987,Lalitpur,deep_tube,128.34,21.3,129.05,2.8465,45.34,0.2715,50.0,72.0,1153.2,1.216,1.033,6.85,agriculture,wet,24.0
43,27.718058988502964,85.26701591020573,Lalitpur,shallow_tube,8.77,34.39,291.76,7.1171,40.99,1.576,136.21,196.142,598.7,8.171,0.556,6.56,urban,dry,30.31
44,27.654461465303875,85.20459766913687,Bhaktapur,dug,2.74,13.34,459.03,32.125,14.29,0.9584,5.77,8.306,721.3,0.494,0.85,7.12,peri-urban,dry,45.16
45,27.6766277056499,85.32972942632071,Kathmandu,dug,5.3,4.9,84.59,4.7016,17.99,0.4099,2.07,2.984,752.7,13.705,0.487,7.5,urban,wet,29.22
46,27.61028516269685,85.32409156180032,Kathmandu,shallow_tube,34.72,17.34,1476.61,41.0419,35.98,8.0898,78.31,112.767,285.4,0.368,1.119,6.32,peri-urban,dry,20.04
47,27.61831641466533,85.42932839386556,Kathmandu,deep_tube,70.84,21.9,519.73,12.5857,41.3,3.7786,691.87,996.297,526.9,5.642,0.629,7.41,urban,dry,21.29
48,27.636115069025468,85.34198630763817,Bhaktapur,dug,3.84,9.72,279.05,6.4889,43.0,1.2705,1.0,1.44,540.3,4.703,0.436,7.07,urban,wet,41.44
49,27.663058067566123,85.33487282309383,Lalitpur,shallow_tube,53.02,9.9,782.67,16.5617,47.26,6.5668,29.31,42.204,931.8,9.292,0.804,6.98,urban,wet,30.52
