household_id,lat,lon,aquifer_id,uses_piped_water,uses_groundwater_well,uses_tanker,household_size,season,per_capita_lpcd,water_insecurity_index
HH_00001,27.744211,85.264288,AQ_0321,True,False,False,6,dry,98.1,19.75
HH_00002,27.629219,85.405751,AQ_0094,True,True,True,8,dry,46.33,91.78
HH_00003,27.647006,85.36307,AQ_0125,True,False,False,1,dry,101.32,26.16
HH_00004,27.62149,85.204228,AQ_0236,False,True,True,4,dry,43.06,28.35
HH_00005,27.781913,85.267408,AQ_0496,False,False,False,4,wet,29.7,53.07
HH_00006,27.732572,85.441362,AQ_0224,False,False,False,5,dry,24.61,41.39
HH_00007,27.783163,85.325719,AQ_0144,False,False,False,2,dry,30.67,54.34
HH_00008,27.795488,85.441088,AQ_0122,True,True,False,6,dry,77.75,32.26
HH_00009,27.632746,85.274856,AQ_0260,True,True,False,2,dry,66.87,40.08
HH_00010,27.763191,85.294579,AQ_0171,True,False,False,2,wet,70.02,14.02
HH_00011,27.617679,85.285556,AQ_0423,True,False,True,5,wet,80.56,11.16
HH_00012,27.683232,85.241635,AQ_0338,True,True,False,7,wet,82.08,19.3
HH_00013,27.797235,85.405212,AQ_0383,True,False,False,2,dry,65.9,19.31
HH_00014,27.611325,85.230095,AQ_0039,True,True,True,6,wet,76.56,34.54
HH_00015,27.716154,85.432191,AQ_0160,False,False,False,7,dry,52.58,33.73
HH_00016,27.689177,85.377146,AQ_0337,False,True,False,4,wet,79.77,18.95
HH_00017,27.746375,85.243491,AQ_0420,True,True,False,8,wet,107.28,33.84
HH_00018,27.614139,85.290385,AQ_0228,True,True,False,5,wet,52.42,38.82
HH_00019,27.70696,85.449056,AQ_0299,False,False,False,2,dry,54.16,26.62
HH_00020,27.686413,85.399098,AQ_0207,True,True,False,3,dry,70.05,21.79
HH_00021,27.719083,85.421649,AQ_0033,True,False,False,2,wet,114.6,11.61
HH_00022,27.726004,85.304346,AQ_0410,True,False,False,1,wet,50.46,28.3
HH_00023,27.628862,85.22339,AQ_0088,True,True,False,4,dry,58.8,17.65
HH_00024,27.747207,85.280004,AQ_0233,True,True,True,6,dry,59.94,17.61
HH_00025,27.701209,85.240628,AQ_0179,False,False,False,1,wet,36.02,74.14
HH_00026,27.752472,85.235969,AQ_0152,True,True,False,6,wet,100.73,21.22
HH_00027,27.601724,85.204993,AQ_0091,True,False,False,7,dry,50.92,49.84
HH_00028,27.703603,85.201866,AQ_0210,True,False,True,4,wet,125.48,15.52
HH_00029,27.684537,85.379517,AQ_0339,True,True,False,6,dry,102.01,56.04
HH_00030,27.646604,85.403286,AQ_0084,False,True,False,1,dry,64.59,35.4
HH_00031,27.717686,85.252691,AQ_0045,True,False,False,8,wet,92.8,14.92
HH_00032,27.765988,85.303907,AQ_0340,True,False,True,7,dry,48.31,31.11
HH_00033,27.65166,85.416753,AQ_0405,True,False,False,5,dry,61.24,19.71
HH_00034,27.69758,85.251064,AQ_0179,True,False,True,4,wet,118.96,56.75
HH_00035,27.725361,85.289686,AQ_0083,False,False,False,5,wet,39.89,36.41
HH_00036,27.697177,85.341463,AQ_0439,True,False,False,3,wet,83.56,26.99
HH_00037,27.783351,85.400205,AQ_0419,True,True,False,6,dry,103.47,11.05
HH_00038,27.717247,85.323092,AQ_0021,True,False,False,8,dry,64.97,20.3
HH_00039,27.638463,85.315984,AQ_0216,False,False,False,7,wet,44.23,40.75
HH_00040,27.667081,85.438066,AQ_0061,True,True,False,8,wet,76.55,22.92
HH_00041,27.706611,85.357886,AQ_0436,True,False,False,7,dry,52.65,20.66
HH_00042,27.675164,85.224787,AQ_0288,True,True,False,6,dry,74.24,39.87
HH_00043,27.724591,85.311719,AQ_0445,True,False,False,4,wet,66.17,13.08
HH_00044,27.632913,85.301583,AQ_0373,True,False,False,3,dry,84.38,83.18
HH_00045,27.785317,85.377605,AQ_0437,True,True,True,3,dry,82.06,18.66
HH_00046,27.616843,85.446144,AQ_0060,True,False,False,8,wet,27.56,46.52
HH_00047,27.733281,85.271351,AQ_0493,False,False,True,2,wet,61.53,24.13
HH_00048,27.793167,85.243696,AQ_0301,True,True,False,1,wet,84.06,40.8
HH_00049,27.729606,85.261364,AQ_0313,True,True,False,1,wet,98.63,15.82
HH_00050,27.734684,85.353625,AQ_0355,False,True,False,2,wet,94.64,23.29
HH_00051,27.778494,85.219657,AQ_0186,True,False,False,1,wet,56.52,26.23
HH_00052,27.797603,85.297347,AQ_0422,False,False,True,8,dry,57.8,21.78
HH_00053,27.746523,85.371181,AQ_0491,False,False,False,6,dry,26.9,60.73
HH_00054,27.656257,85.302782,AQ_0132,True,True,False,8,wet,65.12,15.54
HH_00055,27.646865,85.204913,AQ_0194,True,False,False,5,wet,54.57,15.24
HH_00056,27.601418,85.370063,AQ_0344,True,True,False,6,dry,49.55,18.84
HH_00057,27.765088,85.236652,AQ_0451,True,False,False,5,dry,79.8,27.24
HH_00058,27.723258,85.211215,AQ_0225,True,False,True,6,wet,69.83,34.22
HH_00059,27.724509,85.277229,AQ_0150,False,False,False,2,wet,59.28,23.75
HH_00060,27.762187,85.300089,AQ_0171,True,False,False,3,dry,60.74,14.02
HH_00061,27.789431,85.301616,AQ_0032,True,False,False,6,wet,78.15,20.03
HH_00062,27.779506,85.42694,AQ_0146,True,True,False,8,dry,100.01,17.43
HH_00063,27.617483,85.434123,AQ_0222,True,True,True,2,dry,80.82,21.23
HH_00064,27.640182,85.40128,AQ_0314,True,False,False,7,dry,81.86,23.91
HH_00065,27.770027,85.272288,AQ_0274,True,False,False,3,wet,82.53,16.37
HH_00066,27.715158,85.361288,AQ_0329,True,True,False,8,wet,56.45,27.82
HH_00067,27.603394,85.440092,AQ_0002,False,False,False,4,wet,40.56,30.33
HH_00068,27.786453,85.366487,AQ_0196,False,False,False,4,wet,35.9,24.32
HH_00069,27.764531,85.20332,AQ_0007,True,False,False,5,wet,39.34,43.86
HH_00070,27.699794,85.218053,AQ_0096,True,False,True,4,dry,110.02,9.58
HH_00071,27.736887,85.325805,AQ_0414,False,True,False,6,dry,70.41,36.04
HH_00072,27.629876,85.362064,AQ_0365,False,False,True,2,dry,100.59,53.14
HH_00073,27.634477,85.418099,AQ_0098,True,False,True,7,dry,52.49,39.91
HH_00074,27.792468,85.329591,AQ_0462,False,True,False,6,dry,78.44,20.62
HH_00075,27.61458,85.356708,AQ_0244,True,True,False,7,dry,85.83,17.29
HH_00076,27.763564,85.444737,AQ_0331,True,True,False,6,dry,60.76,23.87
HH_00077,27.700374,85.313739,AQ_0409,True,True,False,3,wet,68.92,15.21
HH_00078,27.709383,85.336562,AQ_0427,True,True,True,5,dry,78.88,20.39
HH_00079,27.617895,85.304496,AQ_0209,False,False,False,7,dry,43.89,29.66
HH_00080,27.625781,85.379999,AQ_0499,False,True,True,4,wet,72.6,34.53
HH_00081,27.620233,85.355784,AQ_0059,True,False,True,8,dry,93.32,18.5
HH_00082,27.646738,85.3598,AQ_0356,True,False,False,5,wet,68.2,38.87
HH_00083,27.647137,85.378415,AQ_0391,True,True,False,3,dry,76.7,33.4
HH_00084,27.625422,85.306885,AQ_0463,True,True,False,1,wet,100.46,15.25
HH_00085,27.632172,85.375087,AQ_0499,False,True,False,6,wet,71.92,34.53
HH_00086,27.701228,85.403656,AQ_0377,False,True,True,4,dry,76.78,27.16
HH_00087,27.787233,85.328379,AQ_0319,False,False,False,1,wet,40.76,39.07
HH_00088,27.678838,85.412051,AQ_0469,True,False,True,8,wet,92.71,21.81
