,importance
water_table_depth_m,0.2893245662476398
uses_piped_water,0.2002084852424278
depletion_rate_m_per_year,0.13298370975248897
tds_mg_per_L,0.09582657785314544
nitrate_mg_per_L,0.06975646737536184
household_size,0.04309394773208474
season_dry,0.04133262540028746
season_wet,0.03757789689765546
aquifer_cluster,0.03167256741392367
uses_groundwater_well,0.018466709956608315
uses_tanker,0.015107454028226643
district_Kathmandu,0.009191814520743809
district_Lalitpur,0.007945268705743394
district_Bhaktapur,0.007511908873662709
